Công ty Cổ phần Xây dựng Coteccons
Mã chứng khoán: CTD

| Chỉ tiêu | Mã | 31/12/2018 | 31/12/2019 | 31/12/2020 | 31/12/2021 | 31/12/2022 |
| --- | --- | --- | --- | --- | --- | --- |
| Phần I. TÀI SẢN | | | | | | |
| A. TÀI SẢN NGẮN HẠN | 100 | 15,323 | 14,727 | 12,868 | 13,876 | 17,465 |
| I. Tiền và các khoản tương đương tiền | 110 | 553 | 801 | 1,397 | 885 | 1,064 |
| II. Đầu tư tài chính ngắn hạn | 120 | 3,907 | 3,242 | 1,981 | 2,401 | 1,778 |
| III. Các khoản phải thu ngắn hạn | 130 | 9,054 | 8,798 | 7,648 | 8,549 | 11,235 |
| IV. Hàng tồn kho | 140 | 1,443 | 1,626 | 1,492 | 1,692 | 2,838 |
| V. Tài sản ngắn hạn khác | 150 | 366 | 260 | 350 | 349 | 550 |
| B. TÀI SẢN DÀI HẠN | 200 | 1,500 | 1,472 | 1,289 | 1,173 | 1,502 |
| I. Các khoản phải thu dài hạn | 210 | | | | | 403 |
| II. Tài sản cố định | 220 | 744 | 704 | 604 | 531 | 560 |
| III. Bất động sản đầu tư | 230 | 52 | 50 | 47 | 41 | 38 |
| IV. Tài sản dở dang dài hạn | 240 | 1 | 161 | 161 | 185 | 25 |
| V. Đầu tư tài chính dài hạn | 250 | 351 | 394 | 365 | 335 | 311 |
| VI. Tài sản dài hạn khác | 260 | 352 | 163 | 112 | 81 | 165 |
| TỔNG TÀI SẢN | | 16,823 | 16,199 | 14,157 | 15,049 | 18,967 |
| Phần II. NGUỒN VỐN | | | | | | |
| C. NỢ PHẢI TRẢ | 300 | 8,860 | 7,729 | 5,759 | 6,802 | 10,753 |
| I. Nợ ngắn hạn | 310 | 8,851 | 7,710 | 5,753 | 6,799 | 10,227 |
| II. Nợ dài hạn | 330 | 9.0 | 19 | 5.5 | 2.5 | 526 |
| D. VỐN CHỦ SỞ HỮU | 400 | 7,963 | 8,470 | 8,398 | 8,247 | 8,214 |
| I. Vốn chủ sở hữu | 410 | 7,963 | 8,469 | 8,398 | 8,247 | 8,214 |
| II. Nguồn kinh phí và quỹ khác | 430 | | | | | |
| TỔNG NGUỒN VỐN | | 16,823 | 16,199 | 14,157 | 15,049 | 18,967 |
