BẢNG CÂN ĐỐI KẾ TOÁN
Tại ngày .... tháng .... năm ......
(Áp dụng cho doanh nghiệp không đáp ứng giả định hoạt động liên tục)

| TÀI SẢN | Mã số | Thuyết minh | Số cuối năm (2) | Đơn vị tính:........... Số đầu năm (4) |
| --- | --- | --- | --- | --- |
| 1 | 2 | 3 | 4 | 5 |
| A. TÀI SẢN NGẮN HẠN | 100 | | | |
| I. Tiền và các khoản tương đương tiền | 110 | | | |
| 1. Tiền | 111 | | | |
| 2. Các khoản tương đương tiền | 112 | | | |
| II. Đầu tư tài chính | 120 | | | |
| 1. Chứng khoán kinh doanh | 121 | | | |
| 2. Đầu tư nắm giữ đến ngày đáo hạn | 122 | | | |
| 3. Đầu tư vào công ty con | 123 | | | |
| 4. Đầu tư vào công ty liên doanh, liên kết | 124 | | | |
| 5. Đầu tư góp vốn vào đơn vị khác | 125 | | | |
| III. Các khoản phải thu ngắn hạn | 130 | | | |
| 1. Phải thu ngắn hạn của khách hàng | 131 | | | |
| 2. Trả trước cho người bán ngắn hạn | 132 | | | |
| 3. Phải thu nội bộ ngắn hạn | 133 | | | |
| 4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng | 134 | | | |
| 5. Phải thu về cho vay ngắn hạn | 135 | | | |
| 6. Phải thu ngắn hạn khác | 136 | | | |
