GHI TÊN CÔNG TY VÀO ĐÂY

BẢNG CÂN ĐỐI KẾ TOÁN
Lập tại ngày ...... tháng ...... Năm 2016

| | | Kỳ báo cáo và phân tích | | 2016 |
| --- | --- | --- | --- | --- |
| Số thứ tự | Tên chỉ tiêu | Mã số | Đầu kỳ | Cuối kỳ |
| 10 | I. Tiền và các khoản tương đương tiền | 110 | 7,598,316,755 | 14,494,735,765 |
| 50 | II. Đầu tư tài chính ngắn hạn | 120 | 100,000,000 | - |
| 85 | III. Các khoản phải thu ngắn hạn | 130 | 45,095,415,312 | 51,286,906,583 |
| 175 | IV. Hàng tồn kho | 140 | 38,442,820,814 | 34,309,671,990 |
| 210 | V. Tài sản ngắn hạn khác | 150 | 1,117,760,421 | 1,212,411,028 |
| 260 | B. TÀI SẢN DÀI HẠN (200 = 210+220+240+250+260) | 200 | 4,166,141,130 | 1,083,829,694 |
| 265 | I. Các khoản phải thu dài hạn | 210 | 200,000,000 | - |
| 350 | II. Tài sản cố định | 220 | 1,166,141,130 | 1,083,829,694 |
| 400 | III. Bất động sản đầu tư | 230 | - | - |
| 435 | IV. Tài sản dở dang dài hạn | 240 | 2,500,000,000 | - |
| 440 | V. Các khoản đầu tư tài chính dài hạn | 250 | 150,000,000 | - |
| 485 | VI. Tài sản dài hạn khác | 260 | 150,000,000 | - |
| 520 | TỔNG CỘNG TÀI SẢN (270 = 100+200) | 270 | 97,820,066,629 | 102,387,581,567 |
