株式会社メディカル一光グループ (3353) 2022年2月期 第3四半期決算短信

2. 四半期連結財務諸表及び主な注記
（1）四半期連結貸借対照表
（単位：千円）

| | 前連結会計年度<br>(2021年2月28日) | 当第3四半期連結会計期間<br>(2021年11月30日) |
|---|---|---|
| **資産の部** | | |
| **流動資産** | | |
| 現金及び預金 | 7,003,288 | 7,874,912 |
| 売掛金 | 4,737,017 | 5,056,674 |
| 商品 | 1,095,008 | 1,386,667 |
| その他 | 822,283 | 812,732 |
| 貸倒引当金 | △2,708 | △2,311 |
| 流動資産合計 | 13,654,889 | 15,128,675 |
| **固定資産** | | |
| **有形固定資産** | | |
| 建物及び構築物（純額） | 6,185,536 | 5,938,276 |
| 土地 | 3,176,825 | 3,739,216 |
| その他（純額） | 752,234 | 330,265 |
| 有形固定資産合計 | 10,114,596 | 10,007,757 |
| **無形固定資産** | | |
| のれん | 1,749,837 | 1,567,668 |
| その他 | 196,998 | 171,648 |
| 無形固定資産合計 | 1,946,836 | 1,739,316 |
| **投資その他の資産** | | |
| 投資有価証券 | 1,090,920 | 934,152 |
| 敷金及び保証金 | 907,820 | 890,366 |
| その他 | 839,237 | 925,954 |
| 投資その他の資産合計 | 2,837,978 | 2,750,474 |
| 固定資産合計 | 14,899,411 | 14,497,548 |
| **資産合計** | **28,554,301** | **29,626,224** |
| **負債の部** | | |
| **流動負債** | | |
| 支払手形 | 45,547 | 45,334 |
| 買掛金 | 3,445,500 | 3,699,342 |
| 短期借入金 | 740,000 | 660,000 |
| 1年内返済予定の長期借入金 | 3,251,061 | 3,264,370 |
| 未払法人税等 | 359,759 | 247,829 |
| 賞与引当金 | 221,356 | 8,686 |
| その他 | 1,034,774 | 1,236,407 |
| 流動負債合計 | 9,098,000 | 9,161,970 |
| **固定負債** | | |
| 長期借入金 | 7,611,616 | 7,410,951 |
| リース債務 | 245,328 | 214,199 |
| 退職給付に係る負債 | 696,054 | 739,536 |
| その他 | 418,475 | 390,574 |
| 固定負債合計 | 8,971,473 | 8,755,261 |
| **負債合計** | **18,069,474** | **17,917,231** |

4
